	id	date	price	bedrooms	bathrooms	sqft_living	sqft_lot	floors	view	condition	grade	sqft_above	zipcode	lat	long	sqft_living15	sqft_lot15	age_of_house	basement_present	renovated	waterfront_present
0	7129300520	20141013T000000	221900	3	1	1180	5650	1	0	3	7	1180	98178	47.5112	-122.257	1340	5650	60	0	0	0
1	6414100192	20141209T000000	538000	3	2.25	2570	7242	2	0	3	7	2170	98125	47.721	-122.319	1690	7639	64	1	1	0
2	5631500400	20150225T000000	180000	2	1	770	10000	1	0	3	6	770	98028	47.7379	-122.233	2720	8062	82	0	0	0
3	2487200875	20141209T000000	604000	4	3	1960	5000	1	0	5	7	1050	98136	47.5208	-122.393	1360	5000	50	1	0	0
4	1954400510	20150218T000000	510000	3	2	1680	8080	1	0	3	8	1680	98074	47.6168	-122.045	1800	7503	28	0	0	0
5	7237550310	20140512T000000	1225000	4	4.5	5420	101930	1	0	3	11	3890	98053	47.6561	-122.005	4760	101930	14	1	0	0
6	1321400060	20140627T000000	257500	3	2.25	1715	6819	2	0	3	7	1715	98003	47.3097	-122.327	2238	6819	20	0	0	0
7	2008000270	20150115T000000	291850	3	1.5	1060	9711	1	0	3	7	1060	98198	47.4095	-122.315	1650	9711	52	0	0	0
8	2414600126	20150415T000000	229500	3	1	1780	7470	1	0	3	7	1050	98146	47.5123	-122.337	1780	8113	55	1	0	0
9	3793500160	20150312T000000	323000	3	2.5	1890	6560	2	0	3	7	1890	98038	47.3684	-122.031	2390	7570	12	0	0	0
10	1736800520	20150403T000000	662500	3	2.5	3560	9796	1	0	3	8	1860	98007	47.6007	-122.145	2210	8925	50	1	0	0
11	9212900260	20140527T000000	468000	2	1	1160	6000	1	0	4	7	860	98115	47.69	-122.292	1330	6000	73	1	0	0
12	114101516	20140528T000000	310000	3	1	1430	19901	1.5	0	4	7	1430	98028	47.7558	-122.229	1780	12697	88	0	0	0
13	6054650070	20141007T000000	400000	3	1.75	1370	9680	1	0	4	7	1370	98074	47.6127	-122.045	1370	10208	38	0	0	0
14	1175000570	20150312T000000	530000	5	2	1810	4850	1.5	0	3	7	1810	98107	47.67	-122.394	1360	4850	115	0	0	0
15	9297300055	20150124T000000	650000	4	3	2950	5000	2	3	3	9	1980	98126	47.5714	-122.375	2140	4000	36	1	0	0
16	1875500060	20140731T000000	395000	3	2	1890	14040	2	0	3	7	1890	98019	47.7277	-121.962	1890	14018	21	0	0	0
17	6865200140	20140529T000000	485000	4	1	1600	4300	1.5	0	4	7	1600	98103	47.6648	-122.343	1610	4300	99	0	0	0
18	16000397	20141205T000000	189000	2	1	1200	9850	1	0	4	7	1200	98002	47.3089	-122.21	1060	5095	94	0	0	0
19	7983200060	20150424T000000	230000	3	1	1250	9774	1	0	4	7	1250	98003	47.3343	-122.306	1280	8850	46	0	0	0
20	6300500875	20140514T000000	385000	4	1.75	1620	4980	1	0	4	7	860	98133	47.7025	-122.341	1400	4980	68	1	0	0
21	2524049179	20140826T000000	2000000	3	2.75	3050	44867	1	4	3	9	2330	98040	47.5316	-122.233	4110	20336	47	1	0	0
22	7137970340	20140703T000000	285000	5	2.5	2270	6300	2	0	3	8	2270	98092	47.3266	-122.169	2240	7005	20	0	0	0
23	8091400200	20140516T000000	252700	2	1.5	1070	9643	1	0	3	7	1070	98030	47.3533	-122.166	1220	8386	30	0	0	0
